cluster_id,size,percentage,negative_pct,neutral_pct,positive_pct,avg_rating,top_keywords,summary,impact_score,rank
2,466,7.77,15.67,5.36,78.97,1.0,"الدكتور, للغاية, الطبيب, العلاج, كانت, الانتظار, بشكل, الممارسة, الوقت, très","Main issues of the patients in this topic were concerns about trusting new doctors, unexpected costs, and variable quality of dental care, particularly regarding teeth cleanings and staff changes. Overall sentiment expressed was mixed, with some expressing satisfaction and others reporting dissatisfaction. Operational implications include addressing transparency in pricing and communication, maintaining consistent staffing, and improving patient education and reassurance during procedures.",195.8,1
0,440,7.33,37.95,14.77,47.27,1.91,"très, الأسنان, dentist, dentiste, practice, treatment, cabinet, traitement, للغاية, الدكتور",Main issues of the patients in this topic were frequent changes in doctors and long waiting times. Overall sentiment or operational implication: Patients expressed concerns about inconsistent care due to doctor turnover and lengthy wait times.,198.77,2
6,416,6.93,6.97,4.33,88.7,1.07,"très, zeit, freundlich, immer, patienten, kompetent, competent, friendly, practice, time","Main issues of the patients in this topic were unfriendliness of some staff members, particularly those at reception, and perceived arrogance from certain doctors. Overall sentiment was mixed, with many expressing satisfaction with their care but others reporting negative experiences.",170.58,3
8,399,6.65,8.52,5.26,86.22,0.99,"للغاية, الدكتور, دائم, الطبيب, أوصي, السيدة, الوقت, الممارسة, بشكل, أمينة","Main issues of the patients in this topic were expressing gratitude towards their respective doctors for providing effective diagnoses, successful surgeries, and excellent post-operative care. They highlighted the doctors' competence, friendliness, attentiveness, and ability to provide personalized attention. Overall, positive sentiments were expressed regarding the quality of medical care received.",164.71,4
18,375,6.25,37.07,21.33,41.6,1.74,"très, treatment, traitement, behandlung, time, temps, zeit, competent, good, wurde","Main issues of the patients in this topic were long waiting times, lack of seating, poor air quality, and rough treatment.
Overall sentiment or operational implication: The patients expressed dissatisfaction with the service due to these recurring issues.",172.24,5
10,352,5.87,7.95,5.4,86.65,1.01,"très, temps, prend, time, zeit, questions, bien, waiting, toujours, nimmt","Main issues of the patients in this topic were long waiting times, perceived indifference, and lack of communication from some doctors. Overall, patients expressed satisfaction with those who were friendly, competent, and attentive, but frustration towards those who appeared unapproachable or dismissive.",145.57,6
17,346,5.77,43.64,8.09,48.27,1.81,"très, للغاية, temps, الممارسة, cabinet, الانتظار, attente, bien, tout, plus","Main issues of the patients in this topic were difficulties reaching certain practices due to outdated facilities and mixed experiences with staff behavior.
Overall, some patients reported positive interactions while others encountered unfriendly attitudes and lengthy wait times.",164.58,7
14,317,5.28,32.81,13.25,53.94,1.31,"très, operation, time, practice, الدكتور, للغاية, treatment, good, also, well","Main issues of the patients in this topic were miscommunication, lack of thorough examination, and long wait times for appointments and procedures.
Overall sentiment or operational implication: These concerns impacted patients' trust and satisfaction with their healthcare experience.",146.48,8
9,316,5.27,7.59,9.18,83.23,1.02,"behandlung, patienten, très, zeit, immer, patients, tout, wurde, temps, être","Main issues of the patients in this topic were concerns about insufficient examination time, lack of personalized attention, and perceived old-fashioned methods. Overall, there was a mix of satisfaction and dissatisfaction with the doctors' competency and communication skills. Some patients expressed disappointment with the length of treatments and their outcomes. Others praised the doctors for their thoroughness, friendliness, and alternative approach to treatment.",130.96,9
4,305,5.08,41.97,8.85,49.18,1.87,"très, enfants, toujours, children, للغاية, practice, temps, friendly, bien, always","Main issues of the patients in this topic were unfriendliness and lack of communication from some doctors, long wait times for appointments, and unexpected high costs for treatments. Overall, there were mixed sentiments regarding the competency of the medical care provided.",147.18,10
