index,rating,comment
200230,1.0,"Sehr gut. Und sehr lieb. <br />
Er hat meinen Zahn gerettet.<br />
OP ohne Komplikationen."
223847,5.0,Es findet so gut wie keine Kommunikation zwischen Arzt und Patient statt. Man erfährt keine Werte. Als Krebspatient fühle ich mich sehr schlecht aufgehoben und allein gelassen. Ich werde den Arzt wechseln.
428130,1.0,"Sehr freundliches Personal, entspannter, netter Arzt, nicht abgehoben. Er konnte mir bisher immer helfen."
24438,1.0,"Ich kam durch Empfehlung einer Freundin, die selbst Ärztin ist, zu Frau Dr. Rauscher. Eine sehr sympathische und kompetente Gynäkologin! Ich war das, was man ""einen schwierigen Fall"" nennt. Sie hat mir alle Untersuchungsmethoden genau erklärt, mit meinem Hausarzt telefoniert, um sich mit ihm aus zu tauschen, zügig alle nötigen Untersuchungen organisiert und ging mit viel Engagement an mein Problem. So stelle ich mir eine gute Betreuung vor, ich danke ganz herzlich für die Hilfe und bin sehr froh, meine Erkrankung los zu sein!"
126201,1.0,"Aufgrund meines Umzugs nach München durfte ich Dr. Salamander erst vor kurzer Zeit kennenlernen. Schade, dass das nicht früher passiert ist. Ein unglaublich einfühlsamer Arzt bei dem man sich sofort verstanden und gut aufgehoben fühlt. Ein Arzt, der es schafft den Patienten durch seine tolle Art zu beruhigen. Er nimmt sich Zeit, hört zu und bewertet die Situation als Ganzes. Wirklich sehr zu empfehlen."
166635,1.0,Sehr kompetentes und super sympathisches Team. Ein sehr gutes Dentallabor befindet sich im selben Gebäude und arbeitet eng mit der Praxis zusammen. Selbst eine Implantation erfolgte nahezu schmerzfrei und mit erstklassigem Ergebnis. In jeder Hinsicht weiter zu empfehlen!
215138,1.0,"Hört sehr gut zu, ist sehr zugewandt,  ich fühle mich sehr sicher und gut beraten und behandelt"
129806,1.0,"Hervorragendes Team, sehr guter und umsichtiger Arzt"
335398,1.0,"Auf Empfehlung und negativer Erfahrungen in meinem Wohnort Chemnitz , begab ich mich nach München in die Praxis zu Dr. Styra  . Hier wurde nach kurzer Untersuchung und Begutachtung der sofort angefertigten Röntgenaufnahmen eine kurze Erklärung zur Herkunft meiner Schmerzen abgegeben und mir ein Termin zu MRT in der darauf folgenden Woche ermöglicht . Nach Begutachtung des Aufnahmen wurde mir die weiteren Behandlungsvorgänge sehr verständlich erklärt . Die notwendige OP führte Herr Dr. Styra durch und zeigte mir mittels Fotos den Verlauf der Operation . Ich kann mich nur nochmals für die gute und sehr kompetente Behandlung bei Dr. Styra und seinem Praxis-Team bedanken ."
60841,1.0,"Nach diversen Arztbesuchen im urologischen Fachbereich, die nicht von Erfolg gekröhnt waren, kam ich zu Herrn Radely.<br />
Nach einer sehr umfangreichen Diagnosestellung wurde mir sofort durch optimale Therapie geholfen und die Probleme behoben. Der Arzt hat sich durch vertrauensvolle Konversation und kompetente Hilfe mehr als bewiesen. <br />
Die Betreuung in der Praxis habe ich insgesamt als freundlich und gewissenhaft erlebt, man fühlt sich absolut nicht wie einer von vielen Patienten.<br />
Vielen Dank dafür"
73647,1.0,Sehr freundliches Personal. Keine lange Wartezeit
218516,1.0,Sehr schnell OP Termin bekommen. OP ist sehr gut verlaufen. Abschlusstermin War auch gut.
74295,1.0,"Nach kurzer Wartezeit  wurde ich aufgerufen. Der Zahnarzt war sehr verständnisvoll und hat mir meine Angst genommen. Das schmerzhafte Loch hat Er gefüllt, hatte keine schmerzen mehr."
60147,1.0,Ich bin begeistert von dieser Praxis! Angenehme Atmosphäre mit einem netten Team. Dr. Kurvin nimmt sich viel Zeit für seine Patienten. Die Mischung aus westlicher Medizin und TCM überzeugt. Uneingeschränkte Weiterempfehlung.
45522,5.0,"Die Praxis ist schön, keine Frage. Aber das ist auch das einzige. Inkompetente Helferinnen am Tresen, die, obwohl sie sich z.B. im Falle der Arzthelferin, die sich als ""Erstkraft"" betitelt, des Öfteren Termine einfach nicht in den elektronischen Kalender eingeben. Mehr Schein als Sein. Geld verdienen ja, das ist das oberste Motto, aber kundenorientiert arbeiten, nein, das geht zu weit. Möchte man sich beschweren, dann nur über E-Mail. Persönlicher Kontakt ist dann nicht mehr möglich. Traurig.. ein wirkliches Armutszeugnis. Ich bereue die Behandlung dort zutiefst."
230019,1.0,"Frau Dr. Guse und ihr Team sind hervorragend, Frau dr.ist sehr sensibel gegenüber ihren Patienten und sehr kompetent"
123998,1.0,"Meine Frau und ich befinden uns seit Jahren in der Behandlung von Dr. Buchen. Wir sind sehr zufrieden und fühlen uns sehr gut aufgehoben in dieser Praxis. Dr. Buchen nimmt sich immer genug Zeit und sucht nach alternativen Behandlungsmethoden wenn er selber nicht mehr weiter weiß. Wenn Tabletten und Spritzen nicht mehr helfen, verschreibt Dr. Buchen Massagen und Pysiotherapie die uns sehr geholfen haben. Wir wünschen dem ganzen Praxis Team weiterhin alles Gute und viel Geduld und Gelassenheit mit ungeduldigen Patienten."
311518,1.0,"Ich hatte 2 Termine. Erster Termin Anamnese und kostenplichtige Blutanalyse(€ 162.-), sowie Ultraschalluntersuchung. 4 Tage später Befund und konkrete Gegenmaßnahmen. Beratung war<br />
schnörkellos und direkt. Dr.Bartovsky macht nicht Geschäfte um jeden Preis. Ich habe in  kurzer<br />
Zeit so etwas wie ein Vertrauensverhältnis aufbauen können. Empfehlenswert !"
88918,1.0,"Nach sehr kurzer Wartezeit wurde mein Problem sehr gut untersucht, ich bin begeistert von den vorhandenen Untersuchungsmethoden. Mein Problem besteht seit ca. 10 Jahren und zum ersten Mal konnte mir ein Arzt wirklich Auskunft geben. <br />
Der Patient wird durch den Analyseprozess mitgenommen und nicht einfach vor vollendete Diagnosen gestellt."
87001,1.0,"ich habe ewig nach einer guten Frauenärtzin gesucht und endlich gefunden. Man kann sie nur weiterempfehlen. Hat sich für meine Belange Zeit genommen und mir auf meine Fragen ausführlich Anwort gegeben.<br />
<br />
Mein Name ist Barbara, bin 55 Jahre."
136194,1.0,Ausgesprochen kompetent. Bei solch einem Arzt ist jede Krankheit nur halb so schlimm.
242064,1.0,"Sehr privates und freundliches Umfeld der kleinen Praxis mit ständiger Kontaktmöglichkeit <br />
zu Dr. Dr. Michel. Sehr ausführliche Beratung und Aufklärung auch im Verlauf der Behandlung.<br />
Umsichtiges und vorsichtiges Vorgehen bei allen Behandlungsschritten führte bei mir zu <br />
maximalen Erfolg. Alle möglichen Kassenleistungen wurden eingestzt mit Optionen zu <br />
privaten Zusatzleistungen für mehr Nachhaltigkeit."
250819,1.0,"Es war die einzige Praxis die sich meinem etwas komplexeren Fall angenommen hat, wodurch ich keine Op gebraucht habe."
119306,2.0,Sehr freundlich am Empfang begrüßt worden.kurze Wartezeit obwohl kein Termin. Gründliche Behandlung. Richtige Diagnose erkannt. Sehr gut.
133920,1.0,"Dr. Spiegelberg hatte bei mir die Aufgabe, eine sehr große Zyste über einem Backenzahn zu entfernen, den entstandenen Hohlraum mit Knochenmasse zu füllen, und darauf ein neues Implantat einzusetzen.<br />
Diese sehr komplexe Behandlung wurde zu meiner vollen Zufriedenheit durchgeführt. Jede der zahlreichen über mehr als ein Jahr verteilten teils operativen Behandlungen wurde so durchgeführt, daß ich praktisch keinerlei Schmerzen erlitt, und mein Gebiß zwischen den einzelnen Behandlungen vollständig einsatzfähig war. Das Ergebnis ist ein Gebiß, das sich anfühlt und aussieht, als hätte es die Zyste nie gegeben.<br />
Jede einzelne der Behandlungen fand in einer sehr angenehmen ruhigen Atmosphäre statt. Vereinbarte Termine wurden exakt eingehalten. Wartezeiten von 10' oder mehr waren die Ausnahme. Als Patient fühlte ich mich von allen Mitarbeitern in Dr. Spiegelbergs Team sehr gut umsorgt; seien es die Arzthilfen, sich um alles kümmernde ""Empfangsdame"", bis hin zur Controllerin, die sich ausgiebig Zeit nahm, Fragen zum Kostenvoranschlag und zu einzelnen Rechnungen zu beantworten. <br />
Und natürlich Dr. Spiegelberg selbst. Er erklärte mir als Nichtexperten aber natürlich sehr Betroffenem alle Schritte der Behandlung ausführlich und anschaulich. Wir besprachen Alternativen und legten gemeinsam das konkrete Vorgehen fest, so es dafür Freiheitsgrade gab. Wie bereits angedeutet, war die Behandlung für mich den Umständen entsprechend sehr angenehm. Auch wenn ich mich fachlich nicht zu einem Urteil berechtigt fühle, glaube ich nach meiner Behandlung behaupten zu dürfen, daß Dr. Spiegelberg auf dem Gebiet der Implantologie ein ausgewiesener Experte ist.<br />
<br />
Als sehr wohltuend empfand ich die Verbindung von Dr. Spiegelbergs Praxis mit Diensten wie Zahnreinigung und Prophylaxe. So konnte ich mit minimalem Zeitaufwand eine umfassende kompetente stomatologische Behandlung genießen.<br />
<br />
Ich kann Dr. Spiegelberg und seine Praxis jedem nur wärmstens empfehlen."
141492,1.0,Sehr netter und kompetenter Arzt. Hat sich für die Untersuchung Zeit genommen und alles gut verständlich erklärt.
386364,1.0,Meine Tochter ist in der Schule auf den Ellenbogen gefallen und Frau Dr. Beese-Hoffmann hat sich hervorrangend um die Behandlung meiner Tochter bemüht. Um Röntgenstrahlen zu vermeiden sonographiert und mir alles gezeigt und erklärt. Meiner Tochter geht es zwischenzeitlich wieder gut!
113327,2.0,"Dr. Rieger weiß in seinem Fach umfassend bescheid.  Ich muß mich zwar noch an Urologenbesuch gewöhnen, denke aber, daß man bei Dr. Rieger sehr gut aufgehoben ist."
93156,1.0,"War mit meinem Sohn für die Nachkontrolle einer Verletzung beim Dr. Lange, Termin bekamen wir sehr kurzfristig (3 Tage vorher) für die Morgenstunden,<br />
Nachsorge war gut und der Arzt hat auch kindgerecht agiert<br />
Waren 25 min nach Termin erst an der Reihe"
318563,1.0,ein Arzt der sich Zeit nimmt und auch gezielt fragt.
408614,1.0,"Kann ich nur empfehlen! Tolles kompetentes Gespräch, super nette Ärztin! <br />
Tolle Praxis! Rundum einfach perfekt!"
385149,1.0,"Tolle Anfahrt, super Parkmöglichkeiten, klasse Ambiente. Modern und edel, Personal hoch kompetent, extrem serviceorientiert und hilfsbereit. Die Ärzte strahlen Sicherheit und Ruhe aus, sind den Menschen zugewandt und konzentrieren sich nicht nur für deren ""Leiden"". Sie können zuhören und dann gut erklären. Der Mensch als Ganzes wird gehört und gesehen, Physis und Psyche und die individuelle Geschichte der Person sind den Ärzten wichtig. Man ist mehr Kunde als Patient. Behandlung war sehr schnell und vollständig hilfreich. Habe nichts zu verbessen."
22144,1.0,Ich habe mich immer wohl gefühlt! Schwester und Ärztin sind sehr freundlich!
