text_original,text_cleaned,text_final,text_no_stopwords,target_language,language_original,rating_normalized
"Sehr gut. Und sehr lieb. <br />
Er hat meinen Zahn gerettet.<br />
OP ohne Komplikationen.",Sehr gut. Und sehr lieb. br  Er hat meinen Zahn gerettet.br  OP ohne Komplikationen.,Sehr gut. Und sehr lieb. br  Er hat meinen Zahn gerettet.br  OP ohne Komplikationen.,gut lieb zahn gerettet.br komplikationen,de,de,0.8333333333333333
Es findet so gut wie keine Kommunikation zwischen Arzt und Patient statt. Man erfährt keine Werte. Als Krebspatient fühle ich mich sehr schlecht aufgehoben und allein gelassen. Ich werde den Arzt wechseln.,Es findet so gut wie keine Kommunikation zwischen Arzt und Patient statt. Man erfährt keine Werte. Als Krebspatient fühle ich mich sehr schlecht aufgehoben und allein gelassen. Ich werde den Arzt wechseln.,Es findet so gut wie keine Kommunikation zwischen Arzt und Patient statt. Man erfährt keine Werte. Als Krebspatient fühle ich mich sehr schlecht aufgehoben und allein gelassen. Ich werde den Arzt wechseln.,findet gut kommunikation statt erfährt werte krebspatient fühle schlecht aufgehoben allein gelassen wechseln,de,de,4.166666666666667
"Sehr freundliches Personal, entspannter, netter Arzt, nicht abgehoben. Er konnte mir bisher immer helfen.","Sehr freundliches Personal, entspannter, netter Arzt, nicht abgehoben. Er konnte mir bisher immer helfen.","Sehr freundliches Personal, entspannter, netter Arzt, nicht abgehoben. Er konnte mir bisher immer helfen.",freundliches personal entspannter netter abgehoben konnte bisher immer helfen,de,de,0.8333333333333333
"Ich kam durch Empfehlung einer Freundin, die selbst Ärztin ist, zu Frau Dr. Rauscher. Eine sehr sympathische und kompetente Gynäkologin! Ich war das, was man ""einen schwierigen Fall"" nennt. Sie hat mir alle Untersuchungsmethoden genau erklärt, mit meinem Hausarzt telefoniert, um sich mit ihm aus zu tauschen, zügig alle nötigen Untersuchungen organisiert und ging mit viel Engagement an mein Problem. So stelle ich mir eine gute Betreuung vor, ich danke ganz herzlich für die Hilfe und bin sehr froh, meine Erkrankung los zu sein!","Ich kam durch Empfehlung einer Freundin, die selbst Ärztin ist, zu Frau Dr. Rauscher. Eine sehr sympathische und kompetente Gynäkologin! Ich war das, was man einen schwierigen Fall nennt. Sie hat mir alle Untersuchungsmethoden genau erklärt, mit meinem Hausarzt telefoniert, um sich mit ihm aus zu tauschen, zügig alle nötigen Untersuchungen organisiert und ging mit viel Engagement an mein Problem. So stelle ich mir eine gute Betreuung vor, ich danke ganz herzlich für die Hilfe und bin sehr froh, meine Erkrankung los zu sein!","Ich kam durch Empfehlung einer Freundin, die selbst Ärztin ist, zu Frau Dr. Rauscher. Eine sehr sympathische und kompetente Gynäkologin! Ich war das, was man einen schwierigen Fall nennt. Sie hat mir alle Untersuchungsmethoden genau erklärt, mit meinem Hausarzt telefoniert, um sich mit ihm aus zu tauschen, zügig alle nötigen Untersuchungen organisiert und ging mit viel Engagement an mein Problem. So stelle ich mir eine gute Betreuung vor, ich danke ganz herzlich für die Hilfe und bin sehr froh, meine Erkrankung los zu sein!",kam empfehlung freundin dr. rauscher sympathische kompetente gynäkologin schwierigen fall nennt untersuchungsmethoden genau erklärt hausarzt telefoniert tauschen zügig nötigen untersuchungen organisiert ging engagement problem stelle gute betreuung danke ganz herzlich hilfe froh erkrankung los,de,de,0.8333333333333333
"Aufgrund meines Umzugs nach München durfte ich Dr. Salamander erst vor kurzer Zeit kennenlernen. Schade, dass das nicht früher passiert ist. Ein unglaublich einfühlsamer Arzt bei dem man sich sofort verstanden und gut aufgehoben fühlt. Ein Arzt, der es schafft den Patienten durch seine tolle Art zu beruhigen. Er nimmt sich Zeit, hört zu und bewertet die Situation als Ganzes. Wirklich sehr zu empfehlen.","Aufgrund meines Umzugs nach München durfte ich Dr. Salamander erst vor kurzer Zeit kennenlernen. Schade, dass das nicht früher passiert ist. Ein unglaublich einfühlsamer Arzt bei dem man sich sofort verstanden und gut aufgehoben fühlt. Ein Arzt, der es schafft den Patienten durch seine tolle Art zu beruhigen. Er nimmt sich Zeit, hört zu und bewertet die Situation als Ganzes. Wirklich sehr zu empfehlen.","Aufgrund meines Umzugs nach München durfte ich Dr. Salamander erst vor kurzer Zeit kennenlernen. Schade, dass das nicht früher passiert ist. Ein unglaublich einfühlsamer Arzt bei dem man sich sofort verstanden und gut aufgehoben fühlt. Ein Arzt, der es schafft den Patienten durch seine tolle Art zu beruhigen. Er nimmt sich Zeit, hört zu und bewertet die Situation als Ganzes. Wirklich sehr zu empfehlen.",aufgrund umzugs münchen durfte dr. salamander erst kurzer zeit kennenlernen schade früher passiert unglaublich einfühlsamer sofort verstanden gut aufgehoben fühlt schafft patienten tolle art beruhigen nimmt zeit hört bewertet situation ganzes wirklich empfehlen,de,de,0.8333333333333333
Sehr kompetentes und super sympathisches Team. Ein sehr gutes Dentallabor befindet sich im selben Gebäude und arbeitet eng mit der Praxis zusammen. Selbst eine Implantation erfolgte nahezu schmerzfrei und mit erstklassigem Ergebnis. In jeder Hinsicht weiter zu empfehlen!,Sehr kompetentes und super sympathisches Team. Ein sehr gutes Dentallabor befindet sich im selben Gebäude und arbeitet eng mit der Praxis zusammen. Selbst eine Implantation erfolgte nahezu schmerzfrei und mit erstklassigem Ergebnis. In jeder Hinsicht weiter zu empfehlen!,Sehr kompetentes und super sympathisches Team. Ein sehr gutes Dentallabor befindet sich im selben Gebäude und arbeitet eng mit der Praxis zusammen. Selbst eine Implantation erfolgte nahezu schmerzfrei und mit erstklassigem Ergebnis. In jeder Hinsicht weiter zu empfehlen!,kompetentes super sympathisches team gutes dentallabor befindet selben gebäude arbeitet eng zusammen implantation erfolgte nahezu schmerzfrei erstklassigem ergebnis hinsicht empfehlen,de,de,0.8333333333333333
"Hört sehr gut zu, ist sehr zugewandt,  ich fühle mich sehr sicher und gut beraten und behandelt","Hört sehr gut zu, ist sehr zugewandt, ich fühle mich sehr sicher und gut beraten und behandelt","Hört sehr gut zu, ist sehr zugewandt, ich fühle mich sehr sicher und gut beraten und behandelt",hört gut zugewandt fühle sicher gut beraten behandelt,de,de,0.8333333333333333
"Hervorragendes Team, sehr guter und umsichtiger Arzt","Hervorragendes Team, sehr guter und umsichtiger Arzt","Hervorragendes Team, sehr guter und umsichtiger Arzt",hervorragendes team guter umsichtiger,de,de,0.8333333333333333
"Auf Empfehlung und negativer Erfahrungen in meinem Wohnort Chemnitz , begab ich mich nach München in die Praxis zu Dr. Styra  . Hier wurde nach kurzer Untersuchung und Begutachtung der sofort angefertigten Röntgenaufnahmen eine kurze Erklärung zur Herkunft meiner Schmerzen abgegeben und mir ein Termin zu MRT in der darauf folgenden Woche ermöglicht . Nach Begutachtung des Aufnahmen wurde mir die weiteren Behandlungsvorgänge sehr verständlich erklärt . Die notwendige OP führte Herr Dr. Styra durch und zeigte mir mittels Fotos den Verlauf der Operation . Ich kann mich nur nochmals für die gute und sehr kompetente Behandlung bei Dr. Styra und seinem Praxis-Team bedanken .","Auf Empfehlung und negativer Erfahrungen in meinem Wohnort Chemnitz , begab ich mich nach München in die Praxis zu Dr. Styra . Hier wurde nach kurzer Untersuchung und Begutachtung der sofort angefertigten Röntgenaufnahmen eine kurze Erklärung zur Herkunft meiner Schmerzen abgegeben und mir ein Termin zu MRT in der darauf folgenden Woche ermöglicht . Nach Begutachtung des Aufnahmen wurde mir die weiteren Behandlungsvorgänge sehr verständlich erklärt . Die notwendige OP führte Herr Dr. Styra durch und zeigte mir mittels Fotos den Verlauf der Operation . Ich kann mich nur nochmals für die gute und sehr kompetente Behandlung bei Dr. Styra und seinem Praxis-Team bedanken .","Auf Empfehlung und negativer Erfahrungen in meinem Wohnort Chemnitz , begab ich mich nach München in die Praxis zu Dr. Styra . Hier wurde nach kurzer Untersuchung und Begutachtung der sofort angefertigten Röntgenaufnahmen eine kurze Erklärung zur Herkunft meiner Schmerzen abgegeben und mir ein Termin zu MRT in der darauf folgenden Woche ermöglicht . Nach Begutachtung des Aufnahmen wurde mir die weiteren Behandlungsvorgänge sehr verständlich erklärt . Die notwendige OP führte Herr Dr. Styra durch und zeigte mir mittels Fotos den Verlauf der Operation . Ich kann mich nur nochmals für die gute und sehr kompetente Behandlung bei Dr. Styra und seinem Praxis-Team bedanken .",empfehlung negativer erfahrungen wohnort chemnitz begab münchen dr. styra wurde kurzer untersuchung begutachtung sofort angefertigten röntgenaufnahmen kurze erklärung herkunft schmerzen abgegeben mrt darauf folgenden woche ermöglicht begutachtung aufnahmen wurde weiteren behandlungsvorgänge verständlich erklärt notwendige führte dr. styra zeigte mittels fotos verlauf operation nochmals gute kompetente behandlung dr. styra praxis-team bedanken,de,de,0.8333333333333333
"Nach diversen Arztbesuchen im urologischen Fachbereich, die nicht von Erfolg gekröhnt waren, kam ich zu Herrn Radely.<br />
Nach einer sehr umfangreichen Diagnosestellung wurde mir sofort durch optimale Therapie geholfen und die Probleme behoben. Der Arzt hat sich durch vertrauensvolle Konversation und kompetente Hilfe mehr als bewiesen. <br />
Die Betreuung in der Praxis habe ich insgesamt als freundlich und gewissenhaft erlebt, man fühlt sich absolut nicht wie einer von vielen Patienten.<br />
Vielen Dank dafür","Nach diversen Arztbesuchen im urologischen Fachbereich, die nicht von Erfolg gekröhnt waren, kam ich zu Herrn Radely.br  Nach einer sehr umfangreichen Diagnosestellung wurde mir sofort durch optimale Therapie geholfen und die Probleme behoben. Der Arzt hat sich durch vertrauensvolle Konversation und kompetente Hilfe mehr als bewiesen. br  Die Betreuung in der Praxis habe ich insgesamt als freundlich und gewissenhaft erlebt, man fühlt sich absolut nicht wie einer von vielen Patienten.br  Vielen Dank dafür","Nach diversen Arztbesuchen im urologischen Fachbereich, die nicht von Erfolg gekröhnt waren, kam ich zu Herrn Radely.br  Nach einer sehr umfangreichen Diagnosestellung wurde mir sofort durch optimale Therapie geholfen und die Probleme behoben. Der Arzt hat sich durch vertrauensvolle Konversation und kompetente Hilfe mehr als bewiesen. br  Die Betreuung in der Praxis habe ich insgesamt als freundlich und gewissenhaft erlebt, man fühlt sich absolut nicht wie einer von vielen Patienten.br  Vielen Dank dafür",diversen arztbesuchen urologischen fachbereich erfolg gekröhnt kam herrn radely.br umfangreichen diagnosestellung wurde sofort optimale therapie geholfen probleme behoben vertrauensvolle konversation kompetente hilfe mehr bewiesen betreuung insgesamt freundlich gewissenhaft erlebt fühlt absolut vielen patienten.br vielen dank dafür,de,de,0.8333333333333333
Sehr freundliches Personal. Keine lange Wartezeit,Sehr freundliches Personal. Keine lange Wartezeit,Sehr freundliches Personal. Keine lange Wartezeit,freundliches personal lange wartezeit,de,de,0.8333333333333333
Sehr schnell OP Termin bekommen. OP ist sehr gut verlaufen. Abschlusstermin War auch gut.,Sehr schnell OP Termin bekommen. OP ist sehr gut verlaufen. Abschlusstermin War auch gut.,Sehr schnell OP Termin bekommen. OP ist sehr gut verlaufen. Abschlusstermin War auch gut.,schnell bekommen gut verlaufen abschlusstermin gut,de,de,0.8333333333333333
"Nach kurzer Wartezeit  wurde ich aufgerufen. Der Zahnarzt war sehr verständnisvoll und hat mir meine Angst genommen. Das schmerzhafte Loch hat Er gefüllt, hatte keine schmerzen mehr.","Nach kurzer Wartezeit wurde ich aufgerufen. Der Zahnarzt war sehr verständnisvoll und hat mir meine Angst genommen. Das schmerzhafte Loch hat Er gefüllt, hatte keine schmerzen mehr.","Nach kurzer Wartezeit wurde ich aufgerufen. Der Zahnarzt war sehr verständnisvoll und hat mir meine Angst genommen. Das schmerzhafte Loch hat Er gefüllt, hatte keine schmerzen mehr.",kurzer wartezeit wurde aufgerufen zahnarzt verständnisvoll angst genommen schmerzhafte loch gefüllt schmerzen mehr,de,de,0.8333333333333333
Ich bin begeistert von dieser Praxis! Angenehme Atmosphäre mit einem netten Team. Dr. Kurvin nimmt sich viel Zeit für seine Patienten. Die Mischung aus westlicher Medizin und TCM überzeugt. Uneingeschränkte Weiterempfehlung.,Ich bin begeistert von dieser Praxis! Angenehme Atmosphäre mit einem netten Team. Dr. Kurvin nimmt sich viel Zeit für seine Patienten. Die Mischung aus westlicher Medizin und TCM überzeugt. Uneingeschränkte Weiterempfehlung.,Ich bin begeistert von dieser Praxis! Angenehme Atmosphäre mit einem netten Team. Dr. Kurvin nimmt sich viel Zeit für seine Patienten. Die Mischung aus westlicher Medizin und TCM überzeugt. Uneingeschränkte Weiterempfehlung.,begeistert angenehme atmosphäre netten team dr. kurvin nimmt zeit patienten mischung westlicher medizin tcm überzeugt uneingeschränkte weiterempfehlung,de,de,0.8333333333333333
