cluster_id,issue_category,issue_summary,severity_level,severity_score,affected_patients,percentage,negative_sentiment_pct,avg_rating,evidence,recommended_action,action_priority,classification_confidence,keywords,rank
0,Clinical Quality,Main issues of the patients in this topic were frequent changes in doctors and long waiting times. Overall sentiment or operational implication: Patients expressed concerns about inconsistent care due to doctor turnover and lengthy wait times.,High,55.71,440,7.33,37.95,1.91,"440 patients affected (7.3% of total); 38.0% negative sentiment; average rating 1.91/5.0; key terms: très,  الأسنان,  dentist,  dentiste,  practice",Implement clinical quality improvement program,1,0.43,"très, الأسنان, dentist, dentiste, practice, treatment, cabinet, traitement, للغاية, الدكتور",1
17,Operational Efficiency,"Main issues of the patients in this topic were difficulties reaching certain practices due to outdated facilities and mixed experiences with staff behavior.
Overall, some patients reported positive interactions while others encountered unfriendly attitudes and lengthy wait times.",High,53.91,346,5.77,43.64,1.81,"346 patients affected (5.8% of total); 43.6% negative sentiment; average rating 1.81/5.0; key terms: très,  للغاية,  temps,  الممارسة,  cabinet",Implement appointment reminder system to reduce no-shows,1,0.43,"très, للغاية, temps, الممارسة, cabinet, الانتظار, attente, bien, tout, plus",2
2,Clinical Quality,"Main issues of the patients in this topic were concerns about trusting new doctors, unexpected costs, and variable quality of dental care, particularly regarding teeth cleanings and staff changes. Overall sentiment expressed was mixed, with some expressing satisfaction and others reporting dissatisfaction. Operational implications include addressing transparency in pricing and communication, maintaining consistent staffing, and improving patient education and reassurance during procedures.",High,53.58,466,7.77,15.67,1.0,"466 patients affected (7.8% of total); 15.7% negative sentiment; average rating 1.00/5.0; key terms: الدكتور,  للغاية,  الطبيب,  العلاج,  كانت",Implement clinical quality improvement program,1,0.29,"الدكتور, للغاية, الطبيب, العلاج, كانت, الانتظار, بشكل, الممارسة, الوقت, très",3
18,Clinical Quality,"Main issues of the patients in this topic were long waiting times, lack of seating, poor air quality, and rough treatment.
Overall sentiment or operational implication: The patients expressed dissatisfaction with the service due to these recurring issues.",High,53.14,375,6.25,37.07,1.74,"375 patients affected (6.2% of total); 37.1% negative sentiment; average rating 1.74/5.0; key terms: très,  treatment,  traitement,  behandlung,  time",Implement clinical quality improvement program,1,0.43,"très, treatment, traitement, behandlung, time, temps, zeit, competent, good, wurde",4
14,Operational Efficiency,"Main issues of the patients in this topic were miscommunication, lack of thorough examination, and long wait times for appointments and procedures.
Overall sentiment or operational implication: These concerns impacted patients' trust and satisfaction with their healthcare experience.",High,51.1,317,5.28,32.81,1.31,"317 patients affected (5.3% of total); 32.8% negative sentiment; average rating 1.31/5.0; key terms: très,  operation,  time,  practice,  الدكتور",Implement appointment reminder system to reduce no-shows,1,0.29,"très, operation, time, practice, الدكتور, للغاية, treatment, good, also, well",5
4,Clinical Quality,"Main issues of the patients in this topic were unfriendliness and lack of communication from some doctors, long wait times for appointments, and unexpected high costs for treatments. Overall, there were mixed sentiments regarding the competency of the medical care provided.",High,50.81,305,5.08,41.97,1.87,"305 patients affected (5.1% of total); 42.0% negative sentiment; average rating 1.87/5.0; key terms: très,  enfants,  toujours,  children,  للغاية",Implement clinical quality improvement program,1,0.43,"très, enfants, toujours, children, للغاية, practice, temps, friendly, bien, always",6
13,Clinical Quality,"Main issues of the patients in this topic were poor communication regarding treatments and procedures, lack of transparency in pricing, and varying levels of satisfaction with medical outcomes.
Overall, some patients expressed gratitude for effective diagnoses and successful treatments, while others reported feeling neglected or misdiagnosed. Additionally, certain individuals highlighted the importance of bedside manner and attentiveness from healthcare professionals.",Medium,49.68,299,4.98,33.44,1.44,"299 patients affected (5.0% of total); 33.4% negative sentiment; average rating 1.44/5.0; key terms: team,  très,  équipe,  للغاية,  super",Implement clinical quality improvement program,1,0.57,"team, très, équipe, للغاية, super, friendly, sympathique, فريق, practice, bien",7
8,Clinical Quality,"Main issues of the patients in this topic were expressing gratitude towards their respective doctors for providing effective diagnoses, successful surgeries, and excellent post-operative care. They highlighted the doctors' competence, friendliness, attentiveness, and ability to provide personalized attention. Overall, positive sentiments were expressed regarding the quality of medical care received.",Medium,47.42,399,6.65,8.52,0.99,"399 patients affected (6.7% of total); 8.5% negative sentiment; average rating 0.99/5.0; key terms: للغاية,  الدكتور,  دائم,  الطبيب,  أوصي",Implement clinical quality improvement program,1,0.43,"للغاية, الدكتور, دائم, الطبيب, أوصي, السيدة, الوقت, الممارسة, بشكل, أمينة",8
6,Staff Development,"Main issues of the patients in this topic were unfriendliness of some staff members, particularly those at reception, and perceived arrogance from certain doctors. Overall sentiment was mixed, with many expressing satisfaction with their care but others reporting negative experiences.",Medium,47.16,416,6.93,6.97,1.07,"416 patients affected (6.9% of total); 7.0% negative sentiment; average rating 1.07/5.0; key terms: très,  zeit,  freundlich,  immer,  patienten",Implement staff recognition program,1,0.43,"très, zeit, freundlich, immer, patienten, kompetent, competent, friendly, practice, time",9
1,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, perceived lack of attention from staff, and uncertainty regarding the competence of some doctors. Overall, patients expressed mixed feelings towards their experiences, with some expressing satisfaction and others considering changing doctors.",Medium,45.26,276,4.6,22.1,1.23,"276 patients affected (4.6% of total); 22.1% negative sentiment; average rating 1.23/5.0; key terms: time,  practice,  always,  good,  friendly",Implement appointment reminder system to reduce no-shows,1,0.29,"time, practice, always, good, friendly, treatment, also, waiting, takes, patients",10
