cluster_id,size,percentage,negative_pct,neutral_pct,positive_pct,avg_rating,top_keywords,summary,impact_score
0,440,7.33,37.95,14.77,47.27,1.91,"très, الأسنان, dentist, dentiste, practice, treatment, cabinet, traitement, للغاية, الدكتور",Main issues of the patients in this topic were frequent changes in doctors and long waiting times. Overall sentiment or operational implication: Patients expressed concerns about inconsistent care due to doctor turnover and lengthy wait times.,198.77
2,466,7.77,15.67,5.36,78.97,1.0,"الدكتور, للغاية, الطبيب, العلاج, كانت, الانتظار, بشكل, الممارسة, الوقت, très","Main issues of the patients in this topic were concerns about trusting new doctors, unexpected costs, and variable quality of dental care, particularly regarding teeth cleanings and staff changes. Overall sentiment expressed was mixed, with some expressing satisfaction and others reporting dissatisfaction. Operational implications include addressing transparency in pricing and communication, maintaining consistent staffing, and improving patient education and reassurance during procedures.",195.8
18,375,6.25,37.07,21.33,41.6,1.74,"très, treatment, traitement, behandlung, time, temps, zeit, competent, good, wurde","Main issues of the patients in this topic were long waiting times, lack of seating, poor air quality, and rough treatment.
Overall sentiment or operational implication: The patients expressed dissatisfaction with the service due to these recurring issues.",172.24
6,416,6.93,6.97,4.33,88.7,1.07,"très, zeit, freundlich, immer, patienten, kompetent, competent, friendly, practice, time","Main issues of the patients in this topic were unfriendliness of some staff members, particularly those at reception, and perceived arrogance from certain doctors. Overall sentiment was mixed, with many expressing satisfaction with their care but others reporting negative experiences.",170.58
8,399,6.65,8.52,5.26,86.22,0.99,"للغاية, الدكتور, دائم, الطبيب, أوصي, السيدة, الوقت, الممارسة, بشكل, أمينة","Main issues of the patients in this topic were expressing gratitude towards their respective doctors for providing effective diagnoses, successful surgeries, and excellent post-operative care. They highlighted the doctors' competence, friendliness, attentiveness, and ability to provide personalized attention. Overall, positive sentiments were expressed regarding the quality of medical care received.",164.71
17,346,5.77,43.64,8.09,48.27,1.81,"très, للغاية, temps, الممارسة, cabinet, الانتظار, attente, bien, tout, plus","Main issues of the patients in this topic were difficulties reaching certain practices due to outdated facilities and mixed experiences with staff behavior.
Overall, some patients reported positive interactions while others encountered unfriendly attitudes and lengthy wait times.",164.58
4,305,5.08,41.97,8.85,49.18,1.87,"très, enfants, toujours, children, للغاية, practice, temps, friendly, bien, always","Main issues of the patients in this topic were unfriendliness and lack of communication from some doctors, long wait times for appointments, and unexpected high costs for treatments. Overall, there were mixed sentiments regarding the competency of the medical care provided.",147.18
14,317,5.28,32.81,13.25,53.94,1.31,"très, operation, time, practice, الدكتور, للغاية, treatment, good, also, well","Main issues of the patients in this topic were miscommunication, lack of thorough examination, and long wait times for appointments and procedures.
Overall sentiment or operational implication: These concerns impacted patients' trust and satisfaction with their healthcare experience.",146.48
10,352,5.87,7.95,5.4,86.65,1.01,"très, temps, prend, time, zeit, questions, bien, waiting, toujours, nimmt","Main issues of the patients in this topic were long waiting times, perceived indifference, and lack of communication from some doctors. Overall, patients expressed satisfaction with those who were friendly, competent, and attentive, but frustration towards those who appeared unapproachable or dismissive.",145.57
13,299,4.98,33.44,15.05,51.51,1.44,"team, très, équipe, للغاية, super, friendly, sympathique, فريق, practice, bien","Main issues of the patients in this topic were poor communication regarding treatments and procedures, lack of transparency in pricing, and varying levels of satisfaction with medical outcomes.
Overall, some patients expressed gratitude for effective diagnoses and successful treatments, while others reported feeling neglected or misdiagnosed. Additionally, certain individuals highlighted the importance of bedside manner and attentiveness from healthcare professionals.",139.67
9,316,5.27,7.59,9.18,83.23,1.02,"behandlung, patienten, très, zeit, immer, patients, tout, wurde, temps, être","Main issues of the patients in this topic were concerns about insufficient examination time, lack of personalized attention, and perceived old-fashioned methods. Overall, there was a mix of satisfaction and dissatisfaction with the doctors' competency and communication skills. Some patients expressed disappointment with the length of treatments and their outcomes. Others praised the doctors for their thoroughness, friendliness, and alternative approach to treatment.",130.96
5,291,4.85,20.27,7.56,72.16,1.44,"wurde, behandlung, zeit, immer, jahren, schon, patienten, freundlich, seit, mehr","Main issues of the patients in this topic were long waiting times and perceived lack of empathy from doctors.
Despite generally positive experiences with their care, many parents expressed frustration over extended waits and felt that their concerns were not fully addressed by some practitioners.",128.56
1,276,4.6,22.1,6.52,71.38,1.23,"time, practice, always, good, friendly, treatment, also, waiting, takes, patients","Main issues of the patients in this topic were long waiting times, perceived lack of attention from staff, and uncertainty regarding the competence of some doctors. Overall, patients expressed mixed feelings towards their experiences, with some expressing satisfaction and others considering changing doctors.",123.66
3,287,4.78,2.44,2.09,95.47,0.93,"très, good, sympathique, للغاية, friendly, freundlich, kompetent, competent, super, toujours","Main issues of the patients in this topic were friendliness and professionalism of the medical staff, as well as long wait times for appointments. Overall sentiment expressed was mixed, with some patients praising the care and attention received while others found the environment cold and impersonal. Operational implication suggests addressing wait times to improve patient satisfaction.",116.26
19,263,4.38,14.83,7.98,77.19,1.26,,"Main issues of the patients in this topic were long waiting times for appointments and consultations, lack of empathy from some doctors, and insufficient communication skills. Overall, there was a mixed sentiment towards the quality of care provided, with some expressing satisfaction while others reported negative experiences. Operational implications include addressing wait times through improved scheduling and staffing, enhancing interpersonal skills training for medical personnel, and implementing effective communication strategies between patients and providers.",114.1
16,205,3.42,17.56,8.29,74.15,1.23,"très, cabinet, temps, attente, toujours, plus, patients, time, bien, sympathique","Main issues of the patients in this topic were long waiting times, rude receptionists, and lack of communication between staff members.
Despite generally positive experiences with competent and caring doctors and nurses, patients expressed frustration with administrative inefficiencies and poor organization.",92.54
12,211,3.52,5.69,5.69,88.63,1.02,"très, الدكتور, pain, operation, opération, après, douleur, traitement, plus, treatment","Main issues of the patients in this topic were expressing dissatisfaction with the level of communication from healthcare providers, receiving incorrect advice, long waiting times, and feeling disrespected. Overall, there was a need for more personalized attention, clearer explanations, and efficient problem solving to improve patient satisfaction.",87.81
7,135,2.25,26.67,19.26,54.07,1.38,"très, practice, team, friendly, treatment, well, good, competent, patients, always","Main issues of the patients in this topic were unclear and lengthy responses from medical personnel, as well as perceived lack of interest or understanding towards their questions. Overall, patients expressed satisfaction with competency and friendliness of healthcare providers but frustration with long wait times and perceived indifference to their concerns.",70.0
15,133,2.22,27.07,5.26,67.67,1.57,"zeit, immer, wurde, behandlung, freundlich, team, empfehlen, patienten, nimmt, schon","Main issues of the patients in this topic were long waiting times, lack of communication, and insufficient attention to concerns and questions. Overall, patients expressed dissatisfaction with the level of care and professionalism they received.",69.44
11,168,2.8,2.38,0.6,97.02,0.89,"très, pregnancy, practice, always, grossesse, temps, good, الدكتور, للغاية, also",Main issues of the patients in this topic were the perceived lack of effectiveness from certain doctors within the team. Overall sentiment expressed gratitude towards the friendliness and competency of the team as a whole.,68.63
